ID,ZIP,Latitude,Longitude,City,State,County,Zip,Country,Congressional District
8231,76904,31.342589,-100.443556,San Angelo,TX,Tom Green County,76904,US,TX11
8232,60647,41.921215,-87.701028,Chicago,IL,Cook County,60647,US,IL3
8233,18630,41.61424,-76.04659,Meshoppen,PA,Wyoming County,18630,US,PA9
8234,30157,33.90448,-84.862139,Dallas,GA,Paulding County,30157,US,GA14
8235,33971,26.639584,-81.699699,Lehigh Acres,FL,Lee County,33971,US,FL17
8236,79336,33.606901,-102.345939,Levelland,TX,Hockley County,79336,US,TX19
8237,85365,32.709332,-114.490471,Yuma,AZ,Yuma County,85365,US,AZ9
8238,55720,46.72417,-92.46389,Cloquet,MN,Carlton County,55720,US,MN8
8239,6331,41.696753,-71.998277,Canterbury,CT,Northeastern Connecticut Planning Region,6331,US,CT2
8240,48326,42.688246,-83.244075,Auburn Hills,MI,Oakland County,48326,US,MI11
8241,17543,40.15732,-76.3069,Lititz,PA,Lancaster County,17543,US,PA11
8242,60462,41.625307,-87.83293,Orland Park,IL,Cook County,60462,US,IL6
8243,50583,42.439752,-94.992967,Sac City,IA,Sac County,50583,US,IA4
8244,69023,40.46916,-101.74851,Champion,NE,Chase County,69023,US,NE3
8245,71047,32.33321,-93.83629,Keithville,LA,Caddo Parish,71047,US,LA4
8246,46951,40.95841,-86.129366,Macy,IN,Miami County,46951,US,IN2
8247,65274,39.01725,-92.73741,New Franklin,MO,Howard County,65274,US,MO4
8248,35475,33.39924,-87.559894,Northport,AL,Tuscaloosa County,35475,US,AL4
8249,14111,42.583165,-78.91888,North Collins,NY,Erie County,14111,US,NY23
8250,60033,42.42224,-88.61371,Harvard,IL,McHenry County,60033,US,IL16
8251,26137,38.98536,-81.07206,Big Springs,WV,Calhoun County,26137,US,WV1
8252,36274,33.216876,-85.405707,Roanoke,AL,Randolph County,36274,US,AL3
8253,85546,32.813612,-109.701631,Safford,AZ,Graham County,85546,US,AZ6
8254,92332,34.588133,-115.577138,Essex,CA,San Bernardino County,92332,US,CA23
8255,15044,40.63007,-79.9695,Gibsonia,PA,Allegheny County,15044,US,PA17
8256,10577,41.04093,-73.71457,Purchase,NY,Westchester County,10577,US,NY16
8257,45431,39.764189,-84.076154,Dayton,OH,Greene County,45431,US,OH10
8258,55347,44.841713,-93.459829,Eden Prairie,MN,Hennepin County,55347,US,MN3
8259,71360,31.223184,-92.320275,Pineville,LA,Rapides Parish,71360,US,LA5
8260,77541,29.021218,-95.278251,Freeport,TX,Brazoria County,77541,US,TX14
8261,91316,34.160236,-118.515472,Encino,CA,Los Angeles County,91316,US,CA32
8262,61367,41.628086,-89.274356,Sublette,IL,Lee County,61367,US,IL16
8263,46001,40.213154,-85.680698,Alexandria,IN,Madison County,46001,US,IN5
8264,28374,35.211461,-79.413311,Pinehurst,NC,Moore County,28374,US,NC9
8265,28088,35.545428,-80.608038,Landis,NC,Rowan County,28088,US,NC8
8266,92592,33.511218,-117.042389,Temecula,CA,Riverside County,92592,US,CA48
8267,36582,30.509877,-88.173001,Theodore,AL,Mobile County,36582,US,AL1
8268,82009,41.377698,-104.660353,Cheyenne,WY,Laramie County,82009,US,WY0
